id,container id,scenario,background,illumination,width at the top,width at the bottom,height,depth,container capacity,container mass,filling type,filling level,filling density,filling mass,object mass,handover starting frame,handover start timestamp,handover hand,audio_file,rgb_view1,rgb_view2,rgb_view3,rgb_view4
0,2,2,1,0,69.0,42.0,72.0,-1.0,185.0,2.0,2,1,0.82,76.0,78.0,-1,-1,-1,data/train/audio/000000.wav,data/train/view1/rgb/000000.mp4,data/train/view2/rgb/000000.mp4,data/train/view3/rgb/000000.mp4,data/train/view4/rgb/000000.mp4
1,7,0,0,0,193.0,193.0,241.0,69.0,3209.397,59.0,0,0,0.0,0.0,59.0,-1,-1,-1,data/train/audio/000001.wav,data/train/view1/rgb/000001.mp4,data/train/view2/rgb/000001.mp4,data/train/view3/rgb/000001.mp4,data/train/view4/rgb/000001.mp4
2,2,0,1,0,69.0,42.0,72.0,-1.0,185.0,2.0,3,1,1.0,93.0,95.0,-1,-1,-1,data/train/audio/000002.wav,data/train/view1/rgb/000002.mp4,data/train/view2/rgb/000002.mp4,data/train/view3/rgb/000002.mp4,data/train/view4/rgb/000002.mp4
3,8,0,1,0,135.0,135.0,164.0,56.0,1239.84,31.0,0,0,0.0,0.0,31.0,-1,-1,-1,data/train/audio/000003.wav,data/train/view1/rgb/000003.mp4,data/train/view2/rgb/000003.mp4,data/train/view3/rgb/000003.mp4,data/train/view4/rgb/000003.mp4
4,4,1,1,0,88.0,56.0,91.0,-1.0,296.0,86.0,1,1,0.34,45.0,131.0,-1,-1,-1,data/train/audio/000004.wav,data/train/view1/rgb/000004.mp4,data/train/view2/rgb/000004.mp4,data/train/view3/rgb/000004.mp4,data/train/view4/rgb/000004.mp4
5,7,2,1,1,193.0,193.0,241.0,69.0,3209.397,59.0,2,1,0.82,1489.0,1548.0,-1,-1,-1,data/train/audio/000005.wav,data/train/view1/rgb/000005.mp4,data/train/view2/rgb/000005.mp4,data/train/view3/rgb/000005.mp4,data/train/view4/rgb/000005.mp4
6,5,0,1,1,81.0,67.0,136.0,-1.0,363.0,134.0,3,1,1.0,182.0,316.0,-1,-1,-1,data/train/audio/000006.wav,data/train/view1/rgb/000006.mp4,data/train/view2/rgb/000006.mp4,data/train/view3/rgb/000006.mp4,data/train/view4/rgb/000006.mp4
7,1,1,1,0,98.0,61.0,119.0,-1.0,520.0,10.0,3,1,1.0,260.0,270.0,-1,-1,-1,data/train/audio/000007.wav,data/train/view1/rgb/000007.mp4,data/train/view2/rgb/000007.mp4,data/train/view3/rgb/000007.mp4,data/train/view4/rgb/000007.mp4
8,7,0,0,1,193.0,193.0,241.0,69.0,3209.397,59.0,0,0,0.0,0.0,59.0,-1,-1,-1,data/train/audio/000008.wav,data/train/view1/rgb/000008.mp4,data/train/view2/rgb/000008.mp4,data/train/view3/rgb/000008.mp4,data/train/view4/rgb/000008.mp4
9,2,2,0,0,69.0,42.0,72.0,-1.0,185.0,2.0,2,1,0.82,76.0,78.0,-1,-1,-1,data/train/audio/000009.wav,data/train/view1/rgb/000009.mp4,data/train/view2/rgb/000009.mp4,data/train/view3/rgb/000009.mp4,data/train/view4/rgb/000009.mp4
10,5,0,1,0,81.0,67.0,136.0,-1.0,363.0,134.0,2,1,0.82,146.0,280.0,-1,-1,-1,data/train/audio/000010.wav,data/train/view1/rgb/000010.mp4,data/train/view2/rgb/000010.mp4,data/train/view3/rgb/000010.mp4,data/train/view4/rgb/000010.mp4
11,3,2,0,1,69.0,39.0,85.0,-1.0,202.0,3.0,3,2,1.0,182.0,185.0,-1,-1,-1,data/train/audio/000011.wav,data/train/view1/rgb/000011.mp4,data/train/view2/rgb/000011.mp4,data/train/view3/rgb/000011.mp4,data/train/view4/rgb/000011.mp4
12,5,2,0,0,81.0,67.0,136.0,-1.0,363.0,134.0,0,0,0.0,0.0,134.0,-1,-1,-1,data/train/audio/000012.wav,data/train/view1/rgb/000012.mp4,data/train/view2/rgb/000012.mp4,data/train/view3/rgb/000012.mp4,data/train/view4/rgb/000012.mp4
